word,meaning,level,chunk,chunk_meaning
a,1つの,1,a clear answer,明確な答え
abandon,捨てる,8,He abandoned his wife,彼は妻を捨てた
abate,減らす；除去する,32,abate pollution,汚染を逓減する
abdicate,退位する；放棄する,32,abdicte the throne,王位を退く
aberration,異常な行動,32,in aberration,魔がさして
abet,幇助する,32,abetting a crime,犯罪の幇助
abeyance,停止,32,fall into abeyance,失効する
abhor,忌み嫌う,32,abhor needless cruelty,不必要な残酷さを忌み嫌う
abiding,永続的な,32,an abiding respect for truth,真実に対する変わらぬ敬意
ability,能力,2,the ability to walk,歩く能力
abject,卑屈な,32,an abject apolgy,卑屈な謝罪
abjure,放棄すると誓う,32,abjure violence publicly,公に暴力を放棄すると誓う
able,能力がある,2,She is able to speak English.,彼女は英語が話せる。
abolish,廃止する,16,to abolish the car-purchse tax,自動車取得税の廃止
abortion,妊娠中絶,16,have a abortion,妊娠中絶手術を受ける
about,〜について,1,a book about lions,ライオンに関する本
above,上に,1,100meters above sea level,海抜100メートル
abroad,外国へ,8,go abroad,外国へ行く
abrogate,廃止する、破棄する,32,abrogate an unfair treaty,不公平な条約を破棄する
abrogation,破棄；廃棄,32,the abrogation of the treaty,その条約の破棄
abscond,姿をくらます,32,abscond with the funds,資金を持ち逃げする
absence,欠席,16,his absence from class,彼の授業欠席
absent,欠席している,16,absent from the meeting,会議を欠席している
absolute,絶対的な,8,absolute confidence in her judgment,彼女の判断への絶対的な信頼
absolutely,絶対に,4,absolutely necessary for success,成功に絶対必要な
absolve,免除する,32,absolve her of responsibility,彼女の責任を免除する
absorb,吸収する,8,absorb water quickly,水をすばやく吸収する
abstain,控える,32,abstain from alcohol,酒を控える
abstention,棄権；不参加,32,abstention from the vote,投票の棄権
abstinence,控えること,32,abstinence from smoking,喫煙を控えること
abstract,抽象的な,8,an abstract idea about freedom,自由に関する抽象的な考え
abstruse,難解な,32,an abstruse mathematical proof,難解な数学の証明
absurd,ばかげた,16,an absurd excuse for failure,失敗に対するばかげた言い訳
abuse,乱用,16,abuse power for profit,利益のために権力を乱用する
abyss,深淵；どん底,32,the abyss below the cliff,崖の下の深淵
academic,学究的な,4,academic research on language,言語に関する学術研究
academy,学園；学会,16,a music academy in London,ロンドンの音楽学校
accede,継承する,32,accede to the throne,王位を継承する
accelerate,加速させる,16,accelerate economic growth,経済成長を加速させる
accent,強勢；訛り,8,a strong regional accent,強い地方なまり
accentuate,強調する,32,accentuate the main point,要点を強調する
accept,受け入れる,2,accept his sincere apology,彼の心からの謝罪を受け入れる
acceptable,許容できる,8,an acceptable solution to the problem,その問題への許容できる解決策
acceptance,受容,16,acceptance of different opinions,異なる意見の受容
access,近づくこと,4,access to reliable information,信頼できる情報へのアクセス
accessible,アクセス可能,16,an accessible explanation for beginners,初心者にも分かりやすい説明
accession,加盟,32,accession to the international treaty,国際条約への加盟
accident,事故,2,a serious accident on the road,道路での重大な事故
accidentally,偶然に；事故で,8,accidentally delete the file,誤ってファイルを削除する
acclaimed,称賛された,32,an acclaimed novel by a young writer,若い作家による高く評価された小説
acclamation,喝采；歓呼,32,be elected by acclamation,拍手による満場一致で選ばれる
accolade,称賛、栄誉,32,receive an accolade for bravery,勇敢さに対する称賛を受ける
accommodate,収容する,8,accommodate three extra guests,追加の客3人を収容する
accommodation,収容能力,8,comfortable accommodation near the station,駅の近くの快適な宿泊施設
accompany,付き添う,8,accompany her to the station,彼女に付き添って駅まで行く
accomplice,共犯者,32,his accomplice in the robbery,その強盗事件での彼の共犯者
accomplish,成し遂げる,8,accomplish a difficult mission,難しい任務を成し遂げる
accomplishment,完成,16,a remarkable accomplishment in science,科学におけるすばらしい業績
according,〜によれば,2,according to the report,その報告によれば
accordingly,応じて,16,act accordingly after the warning,警告を受けてそれに応じて行動する
accost,話しかける,32,accost tourists in the street,路上で観光客に声をかける
account,会計；勘定；記述,4,open a bank account,銀行口座を開く
accountability,説明責任,16,accountability for public spending,公費支出に対する説明責任
accountable,説明責任のある,16,accountable for every decision,すべての決定に責任を負う
accountant,会計士,8,a careful accountant at the firm,その会社の慎重な会計士
accredit,認定する,32,accredit the school officially,その学校を正式に認定する
