row_number,word,meaning,gold,level,chunk1,chunk1_meaning,chunk2,chunk2_meaning,chunk3,chunk3_meaning,definition,definition_meaning,status,note,checked_at
1,a,1つの,1,A1,a clear answer,明確な答え,,,,,word used before one thing not named before,まだ名前を出していない1つの物の前で使う語,pending,"a, an indefinite article",
2,abandon,捨てる,8,B2,He abandoned his wife,彼は妻を捨てた,,,,,to leave someone or something and not come back,人や物を置いて戻らないこと,pending,abandon v.,
3,abate,減らす、除去する,32,C2,abate pollution,汚染を逓減する,abate his fury,彼の怒りを鎮める,,,"to become weaker, smaller, or less serious",弱く、小さく、または深刻でなくなること,pending,abate (v),
4,abdicate,退位する、放棄する,32,C2,abdicte the throne,王位を退く,,,,,"to give up being king, queen, or leader",王・女王・指導者であることをやめること,pending,abdicate (v),
5,aberration,異常な行動,32,C2,in aberration,魔がさして,,,,,a strange action that is not normal,普通ではない奇妙な行動,pending,aberration (n),
6,abet,幇助する,32,C2,abetting a crime,犯罪の幇助,aid and abet,共謀して助ける,,,to help someone do something wrong,誰かが悪いことをするのを助けること,pending,abet (v),
7,abeyance,停止,32,C2,fall into abeyance,失効する,be in abeyance,停止している,,,a time when something is stopped for now,何かが今は止まっている状態,pending,abeyance (n),
8,abhor,忌み嫌う,32,C2,abhor needless cruelty,不必要な残酷さを忌み嫌う,,,,,to hate something very much,何かを非常に嫌うこと,pending,abhor (v),
9,abiding,永続的な,32,C2,an abiding respect for truth,真実に対する変わらぬ敬意,,,,,lasting for a long time without changing,変わらず長く続くこと,pending,abiding (adj),
10,ability,能力,2,A2,the ability to walk,歩く能力,,,,,the power or skill to do something,何かをする力または技能,pending,ability n.,
11,abject,卑屈な,32,C2,an abject apolgy,卑屈な謝罪,,,,,"very bad, low, or without any pride",非常に悪い、低い、または誇りがないこと,pending,abject (adj),
12,abjure,放棄すると誓う,32,C2,abjure violence publicly,公に暴力を放棄すると誓う,,,,,to promise to give up an old belief or action,古い考えや行動をやめると約束すること,pending,abjure (v),
13,able,能力がある,2,A2,She is able to speak English.,彼女は英語が話せる。,,,,,having the skill or power to do something,何かをする技能や力があること,pending,able adj.,
14,abolish,廃止する,16,C1,to abolish the car-purchse tax,自動車取得税の廃止,,,,,"to officially end a law, rule, or system",法律・規則・制度を正式に終わらせること,pending,abolish v.,
15,abortion,妊娠中絶,16,C1,have a abortion,妊娠中絶手術を受ける,,,,,an operation to end a baby before birth,生まれる前の赤ちゃんを終わらせる手術,pending,abortion n.,
16,about,〜について,1,A1,a book about lions,ライオンに関する本,about noon,正午ごろ,,,used to show the subject of talk or writing,話や文章の主題を示すために使う,pending,"about prep., adv.",
17,above,上に,1,A1,100meters above sea level,海抜100メートル,,,,,in or to a higher place,より高い場所に、またはそこへ,pending,"above prep., adv.",
18,abroad,外国へ,8,B2,go abroad,外国へ行く,,,,,in or to another country,他の国で、または他の国へ,pending,abroad adv.,
19,abrogate,廃止する、破棄する,32,C2,abrogate an unfair treaty,不公平な条約を破棄する,,,,,to officially end a law or agreement,法律や合意を正式に終わらせること,pending,abrogate (v),
20,abrogation,破棄、廃棄,32,C2,the abrogation of the treaty,その条約の破棄,,,,,the official end of a law or agreement,法律や合意の正式な終了,pending,abrogation (n),
21,abscond,姿をくらます,32,C2,abscond with the funds,資金を持ち逃げする,,,,,"to leave secretly, often after doing wrong",多くは悪事の後でこっそり去ること,pending,abscond (v),
22,absence,欠席,16,C1,his absence from class,彼の授業欠席,,,,,the time when someone is not in a place,誰かがある場所にいない時間,pending,absence n.,
23,absent,欠席している,16,C1,absent from the meeting,会議を欠席している,,,,,not present in a place,ある場所にいないこと,pending,absent adj.,
24,absolute,絶対的な,8,B2,absolute confidence in her judgment,彼女の判断への絶対的な信頼,,,,,complete and not limited in any way,完全でまったく制限されていないこと,pending,absolute adj.,
25,absolutely,絶対に,4,B1,absolutely necessary for success,成功に絶対必要な,,,,,completely or with no doubt,完全に、または疑いなく,pending,absolutely adv.,
26,absolve,免除する,32,C2,absolve her of responsibility,彼女の責任を免除する,,,,,to say someone is free from blame,誰かに責任がないと言うこと,pending,absolve (v),
27,absorb,吸収する,8,B2,absorb water quickly,水をすばやく吸収する,,,,,"to take in water, light, or ideas",水・光・考えを取り込むこと,pending,absorb v.,
28,abstain,控える,32,C2,abstain from alcohol,酒を控える,,,,,to choose not to do or have something,何かをしない、または持たないと選ぶこと,pending,abstain (v),
29,abstention,棄権、不参加,32,C2,abstention from the vote,投票の棄権,,,,,the choice not to vote or take part,投票や参加をしない選択,pending,abstention (n),
30,abstinence,控えること,32,C2,abstinence from smoking,喫煙を控えること,,,,,the practice of not having or doing something,何かを持たない、またはしない習慣,pending,abstinence (n),
31,abstract,抽象的な,8,B2,an abstract idea about freedom,自由に関する抽象的な考え,,,,,"based on ideas, not real things",実物ではなく考えに基づくこと,pending,abstract adj.,
32,abstruse,難解な,32,C2,an abstruse mathematical proof,難解な数学の証明,,,,,very difficult to understand,理解するのが非常に難しいこと,pending,abstruse (adj),
33,absurd,ばかげた,16,C1,an absurd excuse for failure,失敗に対するばかげた言い訳,,,,,very silly and not reasonable,とてもばかげていて理にかなわないこと,pending,absurd adj.,
34,abuse,乱用,16,C1,abuse power for profit,利益のために権力を乱用する,,,,,to use something badly or treat someone badly,何かを悪く使う、または人を悪く扱うこと,pending,"abuse n., v.",
35,abyss,深淵、どん底,32,C2,the abyss below the cliff,崖の下の深淵,,,,,a very deep hole or very bad situation,非常に深い穴、または非常に悪い状況,pending,abyss (n),
36,academic,学究的な,4,B1,academic research on language,言語に関する学術研究,,,,,"about school, study, or research",学校・勉強・研究に関すること,pending,academic adj.,
37,academy,学園、学会,16,C1,a music academy in London,ロンドンの音楽学校,,,,,a school for special study or training,特別な学習や訓練をする学校,pending,academy n.,
38,accede,継承する,32,C2,accede to the throne,王位を継承する,,,,,to agree to a request or take a high position,要求に同意する、または高い地位に就くこと,pending,accede (v),
39,accelerate,加速させる,16,C1,accelerate economic growth,経済成長を加速させる,,,,,to make something happen or move faster,何かをより速く起こす、または動かすこと,pending,accelerate v.,
40,accent,強勢、訛り,8,B2,a strong regional accent,強い地方なまり,,,,,the way people say words in one area,ある地域の人々の言葉の言い方,pending,accent n.,
41,accentuate,強調する,32,C2,accentuate the main point,要点を強調する,,,,,to make something more clear or easy to notice,何かをよりはっきり分かりやすくすること,pending,accentuate (v),
42,accept,受け入れる,2,A2,accept his sincere apology,彼の心からの謝罪を受け入れる,,,,,to take something offered or agree to something,差し出された物を受け取る、または同意すること,pending,accept v.,
43,acceptable,許容できる,8,B2,an acceptable solution to the problem,その問題への許容できる解決策,,,,,good enough to be used or allowed,使われたり許されたりするのに十分よいこと,pending,acceptable adj.,
44,acceptance,受容,16,C1,acceptance of different opinions,異なる意見の受容,,,,,the act of taking or agreeing to something,何かを受け取る、または同意する行為,pending,acceptance n.,
45,access,近づくこと,4,B1,access to reliable information,信頼できる情報へのアクセス,,,,,"a way to reach, use, or enter something",何かに届く、使う、または入る方法,pending,"access n., v.",
46,accessible,アクセス可能,16,C1,an accessible explanation for beginners,初心者にも分かりやすい説明,,,,,"easy to reach, use, or understand",届きやすい、使いやすい、または理解しやすいこと,pending,accessible adj.,
47,accession,加盟,32,C2,accession to the international treaty,国際条約への加盟,,,,,the act of joining a group or taking power,集団に加わる、または権力を得る行為,pending,accession (n),
48,accident,事故,2,A2,a serious accident on the road,道路での重大な事故,,,,,something bad that happens by chance,偶然起こる悪い出来事,pending,accident n.,
49,accidentally,偶然に、事故で,8,B2,accidentally delete the file,誤ってファイルを削除する,,,,,by chance or because of a mistake,偶然に、または間違いのために,pending,accidentally adv.,
50,acclaimed,称賛された,32,C2,an acclaimed novel by a young writer,若い作家による高く評価された小説,,,,,praised by many people,多くの人にほめられていること,pending,acclaimed (adj),
51,acclamation,喝采、歓呼,32,C2,be elected by acclamation,拍手による満場一致で選ばれる,,,,,loud public praise or agreement,公の場での大きな称賛や同意,pending,acclamation (n),
52,accolade,称賛、栄誉,32,C2,receive an accolade for bravery,勇敢さに対する称賛を受ける,,,,,an award or praise for doing well,よくやったことへの賞や称賛,pending,accolade (n),
53,accommodate,収容する,8,B2,accommodate three extra guests,追加の客3人を収容する,,,,,to provide space or a place for someone,誰かのための場所や空間を用意すること,pending,accommodate v.,
54,accommodation,収容能力,8,B2,comfortable accommodation near the station,駅の近くの快適な宿泊施設,,,,,a place where people can stay or live,人々が泊まったり住んだりできる場所,pending,accommodation n.,
55,accompany,付き添う,8,B2,accompany her to the station,彼女に付き添って駅まで行く,,,,,to go somewhere with someone,誰かと一緒にどこかへ行くこと,pending,accompany v.,
56,accomplice,共犯者,32,C2,his accomplice in the robbery,その強盗事件での彼の共犯者,,,,,someone who helps another person do wrong,他の人が悪いことをするのを助ける人,pending,accomplice (n),
57,accomplish,成し遂げる,8,B2,accomplish a difficult mission,難しい任務を成し遂げる,,,,,to finish or do something successfully,何かを成功して終える、または行うこと,pending,accomplish v.,
